station_id,ds,yhat,yhat_lower,yhat_upper
merged_TimeWVHT_data_41053,01-01,1.5770613689336441,1.2482623284756234,1.9031821704520848
merged_TimeWVHT_data_41053,01-02,1.5701082655314935,1.27011396639803,1.85325741607051
merged_TimeWVHT_data_41053,01-03,1.5331637441427863,1.22809734645009,1.8449451783294026
merged_TimeWVHT_data_41053,01-04,1.4854600116483294,1.1985325544161929,1.785533619246228
merged_TimeWVHT_data_41053,01-05,1.4756029076379735,1.1697950546744742,1.7933338084616344
merged_TimeWVHT_data_41053,01-06,1.4732666704626767,1.1470925101660883,1.790766811974812
merged_TimeWVHT_data_41053,01-07,1.4680331153448,1.155260155775524,1.7663353135271456
merged_TimeWVHT_data_41053,01-08,1.4397323831658313,1.0967904237721975,1.7859688843201773
merged_TimeWVHT_data_41053,01-09,1.439915412169284,1.153595335988831,1.7279772386004282
merged_TimeWVHT_data_41053,01-10,1.4114842741614322,1.1065923930458401,1.7290825286566796
merged_TimeWVHT_data_41053,01-11,1.373555996684496,1.0536511367861363,1.6669543440080596
merged_TimeWVHT_data_41053,01-12,1.3746065579924294,1.0689863077417312,1.7101028067051793
merged_TimeWVHT_data_41053,01-13,1.3841665143925959,1.1031950932344519,1.7120639422814286
merged_TimeWVHT_data_41053,01-14,1.3916612194645728,1.0971486948017448,1.7341374329353527
merged_TimeWVHT_data_41053,01-15,1.376752823863913,1.0436217678068163,1.7011596683657606
merged_TimeWVHT_data_41053,01-16,1.3908142338170741,1.0879183375578776,1.7218542929321
merged_TimeWVHT_data_41053,01-17,1.3765611895296197,1.030605403359403,1.6935601388700454
merged_TimeWVHT_data_41053,01-18,1.352918096566644,1.0407355963732576,1.70704285194859
merged_TimeWVHT_data_41053,01-19,1.3681642990078158,1.0317912170383103,1.6656360362202505
merged_TimeWVHT_data_41053,01-20,1.391632245082509,1.0959299024135416,1.7227655623060862
merged_TimeWVHT_data_41053,01-21,1.412550484276438,1.1027929915038963,1.7406279691106064
merged_TimeWVHT_data_41053,01-22,1.4103886520554347,1.0609717636578047,1.7139189450230239
merged_TimeWVHT_data_41053,01-23,1.436334575790369,1.1347632358119066,1.7533833381460409
merged_TimeWVHT_data_41053,01-24,1.4329296071921374,1.073782916737466,1.74261067719363
merged_TimeWVHT_data_41053,01-25,1.4189377480634744,1.0824840639585658,1.6899134020540674
merged_TimeWVHT_data_41053,01-26,1.4424951830857973,1.126996318796718,1.7904746106215685
merged_TimeWVHT_data_41053,01-27,1.472811588365404,1.1574138332227428,1.8008923485687605
merged_TimeWVHT_data_41053,01-28,1.499016068149032,1.1809239166206988,1.8186921328717653
merged_TimeWVHT_data_41053,01-29,1.5005047873124306,1.2070720159815946,1.8076022382471881
merged_TimeWVHT_data_41053,01-30,1.5284203452636598,1.2239248837197747,1.8389649667926389
merged_TimeWVHT_data_41053,01-31,1.5252889129609541,1.216498243031087,1.837067167065914
merged_TimeWVHT_data_41053,02-01,1.509890622252319,1.1549664548980938,1.8297075836919352
merged_TimeWVHT_data_41053,02-02,1.5304097538890142,1.2194232350804861,1.8545952310421827
merged_TimeWVHT_data_41053,02-03,1.556136037771207,1.2233509319819706,1.8945083628233648
merged_TimeWVHT_data_41053,02-04,1.576309877604516,1.244057138265642,1.9011184165574502
merged_TimeWVHT_data_41053,02-05,1.570468544325869,1.2317045843746413,1.8754380307314387
merged_TimeWVHT_data_41053,02-06,1.5899233796181886,1.2537174491140934,1.883541684173525
merged_TimeWVHT_data_41053,02-07,1.5773940461900635,1.2707539762498148,1.9215411141497687
merged_TimeWVHT_data_41053,02-08,1.5518753502074873,1.1956925263739688,1.8476033595599743
merged_TimeWVHT_data_41053,02-09,1.5617832382873065,1.303664019333547,1.877914156527934
merged_TimeWVHT_data_41053,02-10,1.576651358678168,1.2446241702794145,1.9189624728255361
merged_TimeWVHT_data_41053,02-11,1.5859710933516178,1.251038082695295,1.8821415479347565
merged_TimeWVHT_data_41053,02-12,1.5695322165194003,1.2113088845181523,1.8548041333810124
merged_TimeWVHT_data_41053,02-13,1.5788943462035376,1.268987810569784,1.8833866063976796
merged_TimeWVHT_data_41053,02-14,1.5570153620018972,1.2172557969052922,1.85076079589751
merged_TimeWVHT_data_41053,02-15,1.5231124586379807,1.2224355412658345,1.8201551974456205
merged_TimeWVHT_data_41053,02-16,1.525802585857226,1.2443387108582242,1.862911022733095
merged_TimeWVHT_data_41053,02-17,1.5347938123682403,1.2245488475196544,1.8322114026344292
merged_TimeWVHT_data_41053,02-18,1.5397206643906434,1.213234893779861,1.8301033890182496
merged_TimeWVHT_data_41053,02-19,1.5204807297424259,1.2217937446258653,1.8356422904728495
merged_TimeWVHT_data_41053,02-20,1.5287028170337216,1.1907285746541945,1.828382737623595
merged_TimeWVHT_data_41053,02-21,1.5073729497402315,1.185096167908836,1.8255173919914027
merged_TimeWVHT_data_41053,02-22,1.4756939515905039,1.1225118396661777,1.7776950987606626
merged_TimeWVHT_data_41053,02-23,1.482225437883542,1.1668992365146944,1.7741749879765054
merged_TimeWVHT_data_41053,02-24,1.4965757892587421,1.1763620825243173,1.804739705551565
merged_TimeWVHT_data_41053,02-25,1.508239170277763,1.187922407843189,1.8195424550466013
merged_TimeWVHT_data_41053,02-26,1.496934867464978,1.1758635456263749,1.8147985115234624
merged_TimeWVHT_data_41053,02-27,1.514079191694659,1.2142168062939338,1.8297536511944488
merged_TimeWVHT_data_41053,02-28,1.5024161521270294,1.206565863988061,1.859128485947932
merged_TimeWVHT_data_41053,03-01,1.4808825589569148,1.1556356613310412,1.7939394455400728
merged_TimeWVHT_data_41053,03-02,1.4977542458932298,1.190970380600895,1.7982550040699896
merged_TimeWVHT_data_41053,03-03,1.5223448434714366,1.199001145277061,1.8399834859637756
merged_TimeWVHT_data_41053,03-04,1.5438500019002985,1.2437288718927424,1.8598237576110397
